Title,Area,Price,Address,Description,Chiều ngang,Chiều dài,Đường trước đất,Pháp lý,Tình trạng,Đường,Diện tích thổ cư,Đặc điểm nổi bật,Area_r
"Cần bán nền Tái Định Cư An Sơn, Thuận An Bình Dương, Thổ cư 100m2 full thổ cư",100.0,2250000000.0,Thuận An,"tổng diện tích: 100m2 full thổ cư, ngang 5mx20m
vị trí: gần sông sài gòn, gần tuyến vành đai 3 đang thi công, thích hợp ở hoặc buôn bán, đường...",5.0,20.0,7.0,Sổ hồng sẵn,Đất trống,Bê tông,100.0,Mua chính chủ,100.0
TÔI CẦN SANG GẤP 540M2 ĐẤT NẰM NGAY TRUNG TÂM HÀNH CHÍNH BÌNH DƯƠNG,5400.0,1100000000.0,Bến Cát,ôi chính chủ tài sản cần dòng vốn để xoay sở công việc nên đành bán gấp 540m2 (18 x30m) cho anh chị nào có ý định đầu tư sinh lời hoặc kinh doanh...,18.0,30.0,16.0,Sổ hồng sẵn,Đất trống,Bê tông,540.0,Mua chính chủCó xe đưa đón đi xem đấtGiá rẻ,540.0
BÁN 420M2 ĐẤT NGAY KHU ĐỘ THỊ &CÔNG NGHIỆP DÂN ĐÔNG NGAY ECOLACKES,420.0,1250000000.0,Bến Cát,"- chính chủ cần bán 400m2 đất ngay khu đô thị và công nghiệp bến cát bình dương.. tổng diện tích 3 lô là 420m2 có 3 sổ riêng lẻ
_ diện tích từng...",14.0,30.0,12.0,Sổ hồng sẵn,Đất trống,Nhựa,420.0,Mua chính chủCó xe đưa đón đi xem đấtGiá rẻĐất 2 mặt tiền,420.0
"Chủ ngộp cần bán 138m2 (6x23m), đối diện sông Sài Gòn dân cư đông, full thổ cư, sát quốc lộ 13.",138.0,4500000000.0,Thuận An,"chủ ngộp gửi mảnh đất hỗ trợ vay ngân hàng 70%, full thổ cư, sát sài gòn, đường nhựa 12m.

diện tích: 138m² (6x23m), giá bán 4tỷ5 (bao giấy tờ...",6.0,23.0,8.0,Sổ hồng sẵn,Đất có sẵn nhà,Nhựa,138.0,Mua chính chủ,138.0
"GÓC 2 MẶT TIỀN 256M(11X27.5) ĐỐI DIỆN CÔNG VIÊN, FULL THỔ CƯ, DÂN ĐÔNG, SÁT SÔNG SÀI GÒN",256.0,2700000000.0,Thuận An,"chủ kẹt tiền cần bán gấp mảnh đất để xây nahf vườn nghỉ dưỡng, kho xưởng, mở văn phòng khá là tốt..

góc 2 mặt tiền 256m(11x27.5)m, thổ cư 100%...",11.0,27.5,8.0,Sổ hồng sẵn,Đất trống,Nhựa,256.0,Mua chính chủĐất 2 mặt tiền,302.5
"DT 142,7m2 (6x25.5m),full thổ cư, đường nhựa 20m, trục đường chính của khu, giáp Sài Gòn",142.7,4950000000.0,Thuận An,"- đất sát sài gòn, khu dân trí cao, dân cư sầm uất, khu an ninh cực kì tốt, đường 20m trục đường chính của khu, không khí mát mẻ, trong lành, yên...",6.0,23.8,20.0,Sổ hồng sẵn,Đất trống,Nhựa,1427.0,Mua chính chủ,142.8
"TÔI CHỦ CẦN BÁN 690m2 ĐẤT GẦN KDL ĐẠI NAM 1,2Tỷ, SÁT QUỐC LỘ 13 ĐƯỜNG NHỰA 16M,TCƯ 100%, SHR,TIỆN KD",690.0,1200000000.0,Bến Cát,"gia đình tôi có đầu tư hơn 600m2 ngay trung tâm bình dương, cách tphcm 30 phút. nay cần tiền đóng các khoản vay ngân hàng và xoay...",25.0,30.0,16.0,Sổ hồng sẵn,Đất trống,Nhựa,690.0,Mua chính chủGiá rẻ,750.0
"bán gấp 300m2 Đất Thổ Cư Sổ Hồng Chính Chủ Đối Diện Trường 1,2tỷ",300.0,1200000000.0,Bến Cát,"gia đình cần tiền mở rộng kinh doanh, nên bán gấp mảnh đất đẹp, vuông vứt, tại trung tâm bình dương.
đất có diện tích :...",10.0,30.0,16.0,Sổ hồng sẵn,Đất trống,Nhựa,100.0,Mua chính chủCó xe đưa đón đi xem đấtGiá rẻĐất 2 mặt tiền,300.0
"TÔI CHỦ BÁN GẤP 580m2 ĐẤT T/CƯ 100%,GẦN CỔNG CHÀO BÌNH DƯƠNG 1,3tỷ, SHR, ĐƯỜNG NHỰA,DÂN ĐÔNG",580.0,1300000000.0,Thuận An,"vợ chồng tôi đang cần bán gấp các lô đất đẹp trong tháng này, tại trung tâm bình dương, gần bệnh viện hạnh phúc.
lô 1: diện...",20.0,30.0,16.0,Sổ hồng sẵn,Đất trống,Nhựa,580.0,Mua chính chủGiá rẻ,600.0
"BÁN GẤP 760m2 ĐẤT TT BÌNH DƯƠNG 880TR/sổ ĐỐI DIỆN TRƯỜNG HỌC ,THÔNG CHỢ. DÂN ĐÔNG",760.0,880000000.0,Thủ Dầu Một,"gia đình tôi có đầu tư 3 lô đất  tại trung tâm bình dương từ năm 2009 ,cách trung tâm tphcm chỉ có 30 phút. hai vợ chồng tôi dự...",25.0,30.0,16.0,Sổ hồng sẵn,Đất trống,Nhựa,760.0,Mua chính chủGiá rẻ,750.0
